Importance,Level,Job Zone,Code,Occupation,OccupationCategory
38,32,1-2,43-4151.00,Order Clerks,[Bisnis & Administrasi] Administrasi
38,32,3,25-2011.00,"Preschool Teachers, Except Special Education",[Sosial & Humaniora] Pendidikan / Mengajar
38,32,1-2,51-9197.00,Tire Builders,[Teknik] Teknik Industri
38,30,4,25-2023.00,"Career/Technical Education Teachers, Middle School",[Sosial & Humaniora] Pendidikan / Mengajar
38,30,1-2,51-9162.00,Computer Numerically Controlled Tool Programmers,[Teknik] Teknik Elektro
38,30,1-2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,[Teknik] Teknik Sipil
38,30,1-2,53-7063.00,Machine Feeders and Offbearers,[Keselamatan & Transportasi] Transportasi / Logistik
38,30,4,29-1129.02,Music Therapists,[Kesehatan] Kedokteran
38,30,5,29-1122.00,Occupational Therapists,[Kesehatan] Kedokteran
38,30,3,11-9179.02,Spa Managers,[Bisnis & Administrasi] Bisnis / Manajemen
38,30,4,11-3071.04,Supply Chain Managers,[Bisnis & Administrasi] Bisnis / Manajemen
38,29,1-2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",[Keselamatan & Transportasi] Transportasi / Logistik
38,29,1-2,51-4071.00,Foundry Mold and Coremakers,[Teknik] Teknik Industri
38,29,1-2,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",[Bisnis & Administrasi] Bisnis / Manajemen
38,27,1-2,45-2041.00,"Graders and Sorters, Agricultural Products",[Teknik] Teknik Industri
35,41,3,11-9199.09,Wind Energy Operations Managers,[Bisnis & Administrasi] Bisnis / Manajemen
35,37,5,29-1216.00,General Internal Medicine Physicians,[Kesehatan] Kedokteran
35,37,1-2,51-9195.03,"Stone Cutters and Carvers, Manufacturing",[Teknik] Teknik Industri
35,36,1-2,53-6011.00,Bridge and Lock Tenders,[Keselamatan & Transportasi] Transportasi / Logistik
35,36,4,21-1094.00,Community Health Workers,[Sosial & Humaniora] Psikologi
35,36,3,51-4041.00,Machinists,[Teknik] Teknik Industri
35,34,5,29-1141.02,Advanced Practice Psychiatric Nurses,[Kesehatan] Keperawatan
35,34,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,[Bisnis & Administrasi] Bisnis / Manajemen
35,34,4,11-3021.00,Computer and Information Systems Managers,[Bisnis & Administrasi] Bisnis / Manajemen
35,34,5,29-1031.00,Dietitians and Nutritionists,[Kesehatan] Kedokteran
35,34,3,11-3013.00,Facilities Managers,[Bisnis & Administrasi] Bisnis / Manajemen
35,34,4,19-3099.01,Transportation Planners,[Kesehatan] Laboratorium
35,32,1-2,37-3011.00,Landscaping and Groundskeeping Workers,[Teknik] Teknik Sipil
35,32,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
35,32,4,17-2072.01,Radio Frequency Identification Device Specialists,[Teknik] Teknik Industri
35,32,1-2,47-2082.00,Tapers,[Teknik] Teknik Mesin
35,32,4,11-3071.00,"Transportation, Storage, and Distribution Managers",[Bisnis & Administrasi] Bisnis / Manajemen
35,30,1-2,45-2021.00,Animal Breeders,[Teknik] Teknik Industri
35,30,1-2,39-2011.00,Animal Trainers,[Bisnis & Administrasi] Bisnis / Manajemen
35,30,1-2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",[Teknik] Teknik Industri
35,30,4,11-9121.01,Clinical Research Coordinators,[Bisnis & Administrasi] Bisnis / Manajemen
35,30,1-2,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",[Teknik] Teknik Industri
35,30,1-2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,[Keselamatan & Transportasi] Kepolisian
35,30,3,15-1299.02,Geographic Information Systems Technologists and Technicians,[Teknologi Informasi] Informatika / Ilmu Komputer
35,30,4,13-1121.00,"Meeting, Convention, and Event Planners",[Bisnis & Administrasi] Bisnis / Manajemen
35,30,5,29-1123.00,Physical Therapists,[Kesehatan] Kedokteran
35,30,4,11-9151.00,Social and Community Service Managers,[Bisnis & Administrasi] Bisnis / Manajemen
35,30,4,25-2056.00,"Special Education Teachers, Elementary School",[Sosial & Humaniora] Pendidikan / Mengajar
35,30,3,51-4111.00,Tool and Die Makers,[Teknik] Teknik Industri
35,30,4,15-1299.01,Web Administrators,[Teknologi Informasi] Informatika / Ilmu Komputer
35,29,1-2,27-2021.00,Athletes and Sports Competitors,[Seni & Kreatif] Seni Rupa
35,29,1-2,51-3092.00,Food Batchmakers,[Seni & Kreatif] Tata Boga
35,29,1-2,39-3012.00,Gambling and Sports Book Writers and Runners,[Bisnis & Administrasi] Bisnis / Manajemen
35,29,4,25-2012.00,"Kindergarten Teachers, Except Special Education",[Sosial & Humaniora] Pendidikan / Mengajar
35,29,3,31-1131.00,Nursing Assistants,[Kesehatan] Keperawatan
35,29,1-2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",[Teknik] Teknik Sipil
35,29,1-2,33-9099.02,Retail Loss Prevention Specialists,[Keselamatan & Transportasi] Kepolisian
35,29,1-2,39-5093.00,Shampooers,[Seni & Kreatif] Make Up Artist
35,27,5,29-1181.00,Audiologists,[Seni & Kreatif] Multimedia / Film
35,27,1-2,53-7061.00,Cleaners of Vehicles and Equipment,[Keselamatan & Transportasi] Transportasi / Logistik
35,27,4,11-9081.00,Lodging Managers,[Bisnis & Administrasi] Bisnis / Manajemen
35,27,1-2,47-2171.00,Reinforcing Iron and Rebar Workers,[Teknik] Teknik Mesin
31,36,1-2,41-2012.00,Gambling Change Persons and Booth Cashiers,[Bisnis & Administrasi] Bisnis / Manajemen
31,36,1-2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,[Kesehatan] Laboratorium
31,34,3,51-1011.00,First-Line Supervisors of Production and Operating Workers,[Teknik] Teknik Industri
31,34,3,13-1032.00,"Insurance Appraisers, Auto Damage",[Bisnis & Administrasi] Bisnis / Manajemen
31,34,1-2,43-5031.00,Public Safety Telecommunicators,[Bisnis & Administrasi] Administrasi
31,32,1-2,13-1074.00,Farm Labor Contractors,[Bisnis & Administrasi] Bisnis / Manajemen
31,32,1-2,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",[Teknik] Teknik Industri
31,32,1-2,31-1121.00,Home Health Aides,[Kesehatan] Kedokteran
31,32,5,17-2112.01,Human Factors Engineers and Ergonomists,[Teknik] Teknik Industri
31,32,4,27-2012.03,Media Programming Directors,[Seni & Kreatif] Multimedia / Film
31,32,3,49-3052.00,Motorcycle Mechanics,[Teknik] Teknik Mesin
31,32,1-2,51-6021.00,"Pressers, Textile, Garment, and Related Materials",[Teknik] Teknik Industri
31,32,4,25-3031.00,"Substitute Teachers, Short-Term",[Sosial & Humaniora] Pendidikan / Mengajar
31,32,1-2,43-3071.00,Tellers,[Bisnis & Administrasi] Administrasi
31,32,1-2,35-3031.00,Waiters and Waitresses,[Seni & Kreatif] Tata Boga
31,30,5,25-1052.00,"Chemistry Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
31,30,1-2,43-5021.00,Couriers and Messengers,[Bisnis & Administrasi] Administrasi
31,30,1-2,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",[Bisnis & Administrasi] Administrasi
31,30,1-2,41-9012.00,Models,[Bisnis & Administrasi] Bisnis / Manajemen
31,30,3,41-4011.07,Solar Sales Representatives and Assessors,[Bisnis & Administrasi] Bisnis / Manajemen
31,30,1-2,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",[Teknik] Teknik Industri
31,30,4,11-9199.10,Wind Energy Development Managers,[Bisnis & Administrasi] Bisnis / Manajemen
31,29,5,19-3039.03,Clinical Neuropsychologists,[Sosial & Humaniora] Psikologi
31,29,1-2,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",[Teknik] Teknik Industri
31,29,1-2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,[Bisnis & Administrasi] Administrasi
31,29,4,25-2058.00,"Special Education Teachers, Secondary School",[Sosial & Humaniora] Pendidikan / Mengajar
31,29,3,25-9043.00,"Teaching Assistants, Special Education",[Sosial & Humaniora] Pendidikan / Mengajar
31,29,4,27-3042.00,Technical Writers,[Seni & Kreatif] Seni Rupa
31,27,3,15-1232.00,Computer User Support Specialists,[Teknologi Informasi] Informatika / Ilmu Komputer
31,27,3,33-1011.00,First-Line Supervisors of Correctional Officers,[Keselamatan & Transportasi] Kepolisian
31,27,1-2,35-2021.00,Food Preparation Workers,[Seni & Kreatif] Tata Boga
31,25,3,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",[Sosial & Humaniora] Pendidikan / Mengajar
28,36,1-2,51-2021.00,"Coil Winders, Tapers, and Finishers",[Teknik] Teknik Industri
28,36,5,29-9092.00,Genetic Counselors,[Kesehatan] Kedokteran
28,34,4,17-2051.02,Water/Wastewater Engineers,[Teknik] Teknik Industri
28,32,5,25-1031.00,"Architecture Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
28,32,5,25-1071.00,"Health Specialties Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
28,32,1-2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",[Teknik] Teknik Sipil
28,32,3,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",[Teknik] Teknik Sipil
28,32,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",[Kesehatan] Kedokteran
28,32,5,25-1054.00,"Physics Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
28,32,4,17-2199.10,Wind Energy Engineers,[Teknik] Teknik Industri
28,30,4,15-1299.03,Document Management Specialists,[Teknologi Informasi] Informatika / Ilmu Komputer
28,30,1-2,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",[Teknik] Teknik Mesin
28,30,4,21-1091.00,Health Education Specialists,[Sosial & Humaniora] Psikologi
28,30,4,33-3021.06,Intelligence Analysts,[Keselamatan & Transportasi] Kepolisian
28,30,3,31-2021.00,Physical Therapist Assistants,[Kesehatan] Kedokteran
28,30,5,29-1229.05,Preventive Medicine Physicians,[Kesehatan] Kedokteran
28,30,1-2,51-2041.00,Structural Metal Fabricators and Fitters,[Teknik] Teknik Industri
28,29,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
28,29,1-2,43-5011.00,Cargo and Freight Agents,[Bisnis & Administrasi] Administrasi
28,29,5,11-1011.03,Chief Sustainability Officers,[Bisnis & Administrasi] Bisnis / Manajemen
28,29,4,21-1021.00,"Child, Family, and School Social Workers",[Sosial & Humaniora] Psikologi
28,29,3,27-2032.00,Choreographers,[Seni & Kreatif] Seni Rupa
28,29,5,19-2041.01,Climate Change Policy Analysts,[Kesehatan] Laboratorium
28,29,1-2,35-2011.00,"Cooks, Fast Food",[Seni & Kreatif] Tata Boga
28,29,4,29-1128.00,Exercise Physiologists,[Kesehatan] Kedokteran
28,29,1-2,11-9051.00,Food Service Managers,[Bisnis & Administrasi] Bisnis / Manajemen
28,29,4,11-2033.00,Fundraising Managers,[Bisnis & Administrasi] Bisnis / Manajemen
28,29,1-2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",[Teknik] Teknik Industri
28,29,1-2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",[Bisnis & Administrasi] Administrasi
28,29,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",[Sosial & Humaniora] Pendidikan / Mengajar
28,29,1-2,43-9061.00,"Office Clerks, General",[Bisnis & Administrasi] Administrasi
28,29,4,13-1199.06,Online Merchants,[Bisnis & Administrasi] Bisnis / Manajemen
28,29,3,29-2099.08,Patient Representatives,[Kesehatan] Kedokteran
28,29,1-2,31-1122.00,Personal Care Aides,[Kesehatan] Kedokteran
28,29,1-2,43-5051.00,Postal Service Clerks,[Bisnis & Administrasi] Administrasi
28,29,3,33-9021.00,Private Detectives and Investigators,[Keselamatan & Transportasi] Kepolisian
28,29,1-2,43-5061.00,"Production, Planning, and Expediting Clerks",[Bisnis & Administrasi] Administrasi
28,29,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",[Bisnis & Administrasi] Bisnis / Manajemen
28,29,1-2,53-1042.01,Recycling Coordinators,[Keselamatan & Transportasi] Transportasi / Logistik
28,29,3,39-9041.00,Residential Advisors,[Sosial & Humaniora] Pendidikan / Mengajar
28,29,1-2,41-2031.00,Retail Salespersons,[Bisnis & Administrasi] Bisnis / Manajemen
28,29,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",[Bisnis & Administrasi] Bisnis / Manajemen
28,29,4,27-2012.04,Talent Directors,[Seni & Kreatif] Seni Rupa
28,29,4,11-3131.00,Training and Development Managers,[Bisnis & Administrasi] Bisnis / Manajemen
28,29,1-2,39-7012.00,Travel Guides,[Sosial & Humaniora] Ilmu Komunikasi
28,27,1-2,41-2011.00,Cashiers,[Bisnis & Administrasi] Bisnis / Manajemen
28,27,3,27-2031.00,Dancers,[Seni & Kreatif] Seni Rupa
28,27,1-2,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,[Seni & Kreatif] Tata Boga
28,27,5,11-9032.00,"Education Administrators, Kindergarten through Secondary",[Bisnis & Administrasi] Bisnis / Manajemen
28,27,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,[Bisnis & Administrasi] Administrasi
28,27,1-2,35-3041.00,"Food Servers, Nonrestaurant",[Seni & Kreatif] Tata Boga
28,27,4,15-1212.00,Information Security Analysts,[Teknologi Informasi] Informatika / Ilmu Komputer
28,27,1-2,43-9041.00,Insurance Claims and Policy Processing Clerks,[Bisnis & Administrasi] Administrasi
28,27,5,21-1023.00,Mental Health and Substance Abuse Social Workers,[Sosial & Humaniora] Psikologi
28,27,4,27-2042.00,Musicians and Singers,[Seni & Kreatif] Seni Rupa
28,27,5,19-3039.02,Neuropsychologists,[Sosial & Humaniora] Psikologi
28,27,1-2,53-7064.00,"Packers and Packagers, Hand",[Keselamatan & Transportasi] Transportasi / Logistik
28,27,4,11-3061.00,Purchasing Managers,[Bisnis & Administrasi] Bisnis / Manajemen
28,27,5,25-2051.00,"Special Education Teachers, Preschool",[Sosial & Humaniora] Pendidikan / Mengajar
28,27,4,13-1199.05,Sustainability Specialists,[Bisnis & Administrasi] Bisnis / Manajemen
28,25,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators",[Bisnis & Administrasi] Bisnis / Manajemen
28,25,4,15-1243.01,Data Warehousing Specialists,[Teknologi Informasi] Informatika / Ilmu Komputer
28,25,5,19-3032.00,Industrial-Organizational Psychologists,[Sosial & Humaniora] Psikologi
28,25,5,25-9031.00,Instructional Coordinators,[Sosial & Humaniora] Pendidikan / Mengajar
28,25,5,11-3031.03,Investment Fund Managers,[Bisnis & Administrasi] Bisnis / Manajemen
28,25,3,43-4131.00,Loan Interviewers and Clerks,[Bisnis & Administrasi] Administrasi
28,23,1-2,47-2072.00,Pile Driver Operators,[Teknik] Teknik Mesin
28,23,4,39-9032.00,Recreation Workers,[Sosial & Humaniora] Pendidikan / Mengajar
28,23,4,27-3043.00,Writers and Authors,[Seni & Kreatif] Seni Rupa
28,21,3,33-3011.00,Bailiffs,[Keselamatan & Transportasi] Kepolisian
28,21,5,25-1064.00,"Geography Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
25,32,5,25-9021.00,Farm and Home Management Educators,[Sosial & Humaniora] Pendidikan / Mengajar
25,30,5,25-2059.01,Adapted Physical Education Specialists,[Sosial & Humaniora] Pendidikan / Mengajar
25,30,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",[Sosial & Humaniora] Pendidikan / Mengajar
25,30,1-2,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",[Teknik] Teknik Industri
25,30,4,11-9111.00,Medical and Health Services Managers,[Bisnis & Administrasi] Bisnis / Manajemen
25,30,3,29-2053.00,Psychiatric Technicians,[Kesehatan] Kedokteran
25,29,5,29-1291.00,Acupuncturists,[Kesehatan] Kedokteran
25,29,3,11-3012.00,Administrative Services Managers,[Bisnis & Administrasi] Bisnis / Manajemen
25,29,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",[Sosial & Humaniora] Pendidikan / Mengajar
25,29,1-2,39-2021.00,Animal Caretakers,[Bisnis & Administrasi] Bisnis / Manajemen
25,29,1-2,33-9011.00,Animal Control Workers,[Keselamatan & Transportasi] Kepolisian
25,29,1-2,39-6011.00,Baggage Porters and Bellhops,[Keselamatan & Transportasi] Transportasi / Logistik
25,29,5,25-1042.00,"Biological Science Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
25,29,5,11-1011.00,Chief Executives,[Bisnis & Administrasi] Bisnis / Manajemen
25,29,5,19-3033.00,Clinical and Counseling Psychologists,[Sosial & Humaniora] Psikologi
25,29,5,15-1221.00,Computer and Information Research Scientists,[Teknologi Informasi] Informatika / Ilmu Komputer
25,29,4,15-1251.00,Computer Programmers,[Teknologi Informasi] Informatika / Ilmu Komputer
25,29,1-2,41-2021.00,Counter and Rental Clerks,[Bisnis & Administrasi] Bisnis / Manajemen
25,29,4,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",[Bisnis & Administrasi] Bisnis / Manajemen
25,29,5,19-3011.01,Environmental Economists,[Kesehatan] Laboratorium
25,29,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
25,29,5,15-1211.01,Health Informatics Specialists,[Teknologi Informasi] Informatika / Ilmu Komputer
25,29,4,15-1299.09,Information Technology Project Managers,[Teknologi Informasi] Informatika / Ilmu Komputer
25,29,4,27-3091.00,Interpreters and Translators,[Seni & Kreatif] Seni Rupa
25,29,3,25-4031.00,Library Technicians,[Sosial & Humaniora] Pendidikan / Mengajar
25,29,4,13-1081.02,Logistics Analysts,[Bisnis & Administrasi] Bisnis / Manajemen
25,29,1-2,39-9011.01,Nannies,[Bisnis & Administrasi] Bisnis / Manajemen
25,29,1-2,31-2022.00,Physical Therapist Aides,[Kesehatan] Kedokteran
25,29,1-2,47-2151.00,Pipelayers,[Teknik] Teknik Mesin
25,29,1-2,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",[Bisnis & Administrasi] Administrasi
25,29,1-2,43-4171.00,Receptionists and Information Clerks,[Bisnis & Administrasi] Administrasi
25,29,4,13-1041.07,Regulatory Affairs Specialists,[Bisnis & Administrasi] Bisnis / Manajemen
25,29,4,13-1161.01,Search Marketing Strategists,[Bisnis & Administrasi] Bisnis / Manajemen
25,29,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",[Sosial & Humaniora] Pendidikan / Mengajar
25,29,4,15-1252.00,Software Developers,[Teknologi Informasi] Informatika / Ilmu Komputer
25,29,4,25-2057.00,"Special Education Teachers, Middle School",[Sosial & Humaniora] Pendidikan / Mengajar
25,29,4,13-1151.00,Training and Development Specialists,[Bisnis & Administrasi] Bisnis / Manajemen
25,27,1-2,27-2011.00,Actors,[Seni & Kreatif] Seni Rupa
25,27,3,43-4011.00,Brokerage Clerks,[Bisnis & Administrasi] Administrasi
25,27,4,13-1199.04,Business Continuity Planners,[Bisnis & Administrasi] Bisnis / Manajemen
25,27,1-2,33-9091.00,Crossing Guards and Flaggers,[Keselamatan & Transportasi] Kepolisian
25,27,1-2,43-4051.00,Customer Service Representatives,[Bisnis & Administrasi] Administrasi
25,27,3,13-1041.08,Customs Brokers,[Bisnis & Administrasi] Bisnis / Manajemen
25,27,1-2,47-4031.00,Fence Erectors,[Teknik] Teknik Mesin
25,27,1-2,43-4071.00,File Clerks,[Bisnis & Administrasi] Administrasi
25,27,5,13-2099.01,Financial Quantitative Analysts,[Bisnis & Administrasi] Bisnis / Manajemen
25,27,1-2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",[Keselamatan & Transportasi] Transportasi / Logistik
25,27,4,13-2099.04,"Fraud Examiners, Investigators and Analysts",[Bisnis & Administrasi] Bisnis / Manajemen
25,27,1-2,43-4121.00,"Library Assistants, Clerical",[Bisnis & Administrasi] Administrasi
25,27,5,11-9121.00,Natural Sciences Managers,[Bisnis & Administrasi] Bisnis / Manajemen
25,27,1-2,43-5052.00,Postal Service Mail Carriers,[Bisnis & Administrasi] Administrasi
25,27,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
25,27,4,43-9111.00,Statistical Assistants,[Bisnis & Administrasi] Administrasi
25,27,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,[Sosial & Humaniora] Psikologi
25,27,3,25-3041.00,Tutors,[Sosial & Humaniora] Pendidikan / Mengajar
25,25,4,15-2011.00,Actuaries,[Teknologi Informasi] Informatika / Ilmu Komputer
25,25,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,[Seni & Kreatif] Multimedia / Film
25,25,4,13-2031.00,Budget Analysts,[Bisnis & Administrasi] Bisnis / Manajemen
25,25,3,15-1299.08,Computer Systems Engineers/Architects,[Teknologi Informasi] Informatika / Ilmu Komputer
25,25,5,11-9033.00,"Education Administrators, Postsecondary",[Bisnis & Administrasi] Bisnis / Manajemen
25,25,1-2,35-3023.00,Fast Food and Counter Workers,[Seni & Kreatif] Tata Boga
25,25,4,13-2061.00,Financial Examiners,[Bisnis & Administrasi] Bisnis / Manajemen
25,25,3,39-1022.00,First-Line Supervisors of Personal Service Workers,[Bisnis & Administrasi] Bisnis / Manajemen
25,25,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
25,25,1-2,39-4021.00,Funeral Attendants,[Kesehatan] Kedokteran
25,25,1-2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",[Teknik] Teknik Sipil
25,25,4,13-2053.00,Insurance Underwriters,[Bisnis & Administrasi] Bisnis / Manajemen
25,25,3,43-4111.00,"Interviewers, Except Eligibility and Loan",[Bisnis & Administrasi] Administrasi
25,25,4,13-1081.00,Logisticians,[Bisnis & Administrasi] Bisnis / Manajemen
25,25,4,13-1161.00,Market Research Analysts and Marketing Specialists,[Bisnis & Administrasi] Bisnis / Manajemen
25,25,4,27-3023.00,"News Analysts, Reporters, and Journalists",[Seni & Kreatif] Seni Rupa
25,25,3,31-2011.00,Occupational Therapy Assistants,[Kesehatan] Kedokteran
25,25,4,27-3031.00,Public Relations Specialists,[Seni & Kreatif] Seni Rupa
25,25,3,25-3021.00,Self-Enrichment Teachers,[Sosial & Humaniora] Pendidikan / Mengajar
25,25,4,21-1093.00,Social and Human Service Assistants,[Sosial & Humaniora] Psikologi
25,25,4,19-4061.00,Social Science Research Assistants,[Kesehatan] Laboratorium
25,23,4,11-9199.02,Compliance Managers,[Bisnis & Administrasi] Bisnis / Manajemen
25,23,1-2,43-9021.00,Data Entry Keyers,[Bisnis & Administrasi] Administrasi
25,23,1-2,43-3041.00,Gambling Cage Workers,[Bisnis & Administrasi] Administrasi
25,23,5,19-3093.00,Historians,[Kesehatan] Laboratorium
25,23,1-2,31-1132.00,Orderlies,[Kesehatan] Kedokteran
25,23,3,23-2011.00,Paralegals and Legal Assistants,[Sosial & Humaniora] Hukum
25,23,4,11-9199.01,Regulatory Affairs Managers,[Bisnis & Administrasi] Bisnis / Manajemen
25,23,4,11-2022.00,Sales Managers,[Bisnis & Administrasi] Bisnis / Manajemen
25,23,5,29-1127.00,Speech-Language Pathologists,[Kesehatan] Kedokteran
25,23,1-2,53-7073.00,Wellhead Pumpers,[Keselamatan & Transportasi] Transportasi / Logistik
25,21,1-2,43-3011.00,Bill and Account Collectors,[Bisnis & Administrasi] Administrasi
25,21,5,21-2011.00,Clergy,[Sosial & Humaniora] Psikologi
25,21,5,25-1021.00,"Computer Science Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
25,21,4,15-1243.00,Database Architects,[Teknologi Informasi] Informatika / Ilmu Komputer
25,21,4,11-9179.01,Fitness and Wellness Coordinators,[Bisnis & Administrasi] Bisnis / Manajemen
25,21,3,43-6012.00,Legal Secretaries and Administrative Assistants,[Bisnis & Administrasi] Administrasi
25,21,5,25-4022.00,Librarians and Media Collections Specialists,[Sosial & Humaniora] Pendidikan / Mengajar
25,21,1-2,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",[Bisnis & Administrasi] Administrasi
25,20,4,21-2021.00,"Directors, Religious Activities and Education",[Sosial & Humaniora] Psikologi
25,20,1-2,43-3061.00,Procurement Clerks,[Bisnis & Administrasi] Administrasi
25,20,1-2,51-3023.00,Slaughterers and Meat Packers,[Seni & Kreatif] Tata Boga
25,18,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
25,18,1-2,39-3091.00,Amusement and Recreation Attendants,[Bisnis & Administrasi] Bisnis / Manajemen
25,18,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
25,18,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
25,18,4,13-1111.00,Management Analysts,[Bisnis & Administrasi] Bisnis / Manajemen
25,18,5,25-1065.00,"Political Science Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
25,18,1-2,43-2011.00,"Switchboard Operators, Including Answering Service",[Bisnis & Administrasi] Administrasi
25,18,3,39-7011.00,Tour Guides and Escorts,[Sosial & Humaniora] Ilmu Komunikasi
25,16,5,23-1022.00,"Arbitrators, Mediators, and Conciliators",[Sosial & Humaniora] Hukum
25,16,1-2,39-6012.00,Concierges,[Keselamatan & Transportasi] Transportasi / Logistik
25,16,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates",[Sosial & Humaniora] Hukum
25,16,4,13-2072.00,Loan Officers,[Bisnis & Administrasi] Bisnis / Manajemen
25,16,1-2,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",[Bisnis & Administrasi] Bisnis / Manajemen
25,16,3,43-3051.00,Payroll and Timekeeping Clerks,[Bisnis & Administrasi] Administrasi
25,16,5,15-2041.00,Statisticians,[Teknologi Informasi] Data Science / Kecerdasan Buatan
22,27,4,15-1253.00,Software Quality Assurance Analysts and Testers,[Teknologi Informasi] Informatika / Ilmu Komputer
22,25,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",[Keselamatan & Transportasi] Kelautan
22,25,4,13-1051.00,Cost Estimators,[Bisnis & Administrasi] Bisnis / Manajemen
22,25,4,15-1242.00,Database Administrators,[Teknologi Informasi] Informatika / Ilmu Komputer
22,25,1-2,35-9021.00,Dishwashers,[Seni & Kreatif] Tata Boga
22,25,4,11-9161.00,Emergency Management Directors,[Bisnis & Administrasi] Bisnis / Manajemen
22,25,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants,[Bisnis & Administrasi] Administrasi
22,25,4,13-1131.00,Fundraisers,[Bisnis & Administrasi] Bisnis / Manajemen
22,25,4,11-1021.00,General and Operations Managers,[Bisnis & Administrasi] Bisnis / Manajemen
22,25,5,19-2041.03,Industrial Ecologists,[Kesehatan] Laboratorium
22,25,1-2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",[Keselamatan & Transportasi] Kepolisian
22,25,3,31-2012.00,Occupational Therapy Aides,[Kesehatan] Kedokteran
