Importance,Level,Job Zone,Code,Occupation,OccupationCategory
53,50,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",[Teknik] Teknik Mesin
53,50,4,17-2199.08,Robotics Engineers,[Teknik] Teknik Mesin
53,48,3,27-4012.00,Broadcast Technicians,[Seni & Kreatif] Multimedia / Film
53,48,4,29-2011.01,Cytogenetic Technologists,[Kesehatan] Laboratorium
53,48,4,19-1012.00,Food Scientists and Technologists,[Kesehatan] Laboratorium
53,46,3,53-6051.01,Aviation Inspectors,[Keselamatan & Transportasi] Penerbangan
53,46,5,29-1213.00,Dermatologists,[Kesehatan] Kedokteran
53,46,4,27-4032.00,Film and Video Editors,[Seni & Kreatif] Multimedia / Film
53,46,3,49-9062.00,Medical Equipment Repairers,[Teknik] Teknik Mesin
53,46,4,25-4013.00,Museum Technicians and Conservators,[Sosial & Humaniora] Pendidikan / Mengajar
53,46,5,29-1222.00,"Physicians, Pathologists",[Kesehatan] Kedokteran
53,45,1-2,51-3011.00,Bakers,[Seni & Kreatif] Tata Boga
53,45,1-2,51-8013.03,Biomass Plant Technicians,[Teknik] Teknik Industri
53,45,1-2,51-2051.00,Fiberglass Laminators and Fabricators,[Teknik] Teknik Industri
53,45,1-2,49-9099.01,Geothermal Technicians,[Teknik] Teknik Mesin
53,45,3,13-1041.04,Government Property Inspectors and Investigators,[Bisnis & Administrasi] Bisnis / Manajemen
53,45,5,29-1041.00,Optometrists,[Kesehatan] Kedokteran
53,45,5,29-1024.00,Prosthodontists,[Kesehatan] Kedokteran
53,45,1-2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",[Keselamatan & Transportasi] Transportasi / Logistik
53,45,1-2,47-5013.00,"Service Unit Operators, Oil and Gas",[Teknik] Teknik Mesin
53,43,3,19-4012.00,Agricultural Technicians,[Kesehatan] Laboratorium
53,43,3,53-7021.00,Crane and Tower Operators,[Keselamatan & Transportasi] Transportasi / Logistik
53,43,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",[Seni & Kreatif] Make Up Artist
53,43,4,29-2011.04,Histotechnologists,[Kesehatan] Laboratorium
53,43,1-2,45-4022.00,Logging Equipment Operators,[Teknik] Teknik Industri
53,43,3,29-2012.00,Medical and Clinical Laboratory Technicians,[Kesehatan] Laboratorium
53,41,3,49-9092.00,Commercial Divers,[Keselamatan & Transportasi] Kelautan
53,41,4,17-1012.00,Landscape Architects,[Teknik] Teknik Sipil
53,41,3,29-2055.00,Surgical Technologists,[Kesehatan] Kedokteran
53,39,1-2,51-8091.00,Chemical Plant and System Operators,[Teknik] Teknik Industri
53,39,1-2,47-5011.00,"Derrick Operators, Oil and Gas",[Teknik] Teknik Mesin
53,37,1-2,53-3051.00,"Bus Drivers, School",[Keselamatan & Transportasi] Transportasi / Logistik
53,37,1-2,47-5023.00,"Earth Drillers, Except Oil and Gas",[Teknik] Teknik Mesin
53,37,3,33-2021.00,Fire Inspectors and Investigators,[Keselamatan & Transportasi] Pemadam Kebakaran
50,54,1-2,49-3043.00,Rail Car Repairers,[Teknik] Teknik Mesin
50,52,3,27-1012.00,Craft Artists,[Seni & Kreatif] Seni Rupa
50,52,5,25-4012.00,Curators,[Sosial & Humaniora] Pendidikan / Mengajar
50,50,3,49-2091.00,Avionics Technicians,[Teknik] Teknik Elektro
50,50,3,39-4011.00,Embalmers,[Kesehatan] Kedokteran
50,48,1-2,51-2022.00,Electrical and Electronic Equipment Assemblers,[Teknik] Teknik Elektro
50,48,3,51-9082.00,Medical Appliance Technicians,[Teknik] Teknik Industri
50,48,5,29-1241.00,"Ophthalmologists, Except Pediatric",[Kesehatan] Kedokteran
50,46,5,29-1071.01,Anesthesiologist Assistants,[Kesehatan] Kedokteran
50,46,3,49-3023.00,Automotive Service Technicians and Mechanics,[Teknik] Teknik Mesin
50,46,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,[Teknik] Teknik Mesin
50,46,3,49-9061.00,Camera and Photographic Equipment Repairers,[Seni & Kreatif] Multimedia / Film
50,46,3,53-2012.00,Commercial Pilots,[Keselamatan & Transportasi] Penerbangan
50,46,4,17-2111.02,Fire-Prevention and Protection Engineers,[Teknik] Teknik Industri
50,46,1-2,49-9031.00,Home Appliance Repairers,[Teknik] Teknik Mesin
50,46,3,49-9071.00,"Maintenance and Repair Workers, General",[Teknik] Teknik Mesin
50,46,3,17-3027.00,Mechanical Engineering Technologists and Technicians,[Teknik] Teknik Mesin
50,46,5,17-2199.06,Microsystems Engineers,[Teknik] Teknik Industri
50,46,1-2,39-3021.00,Motion Picture Projectionists,[Seni & Kreatif] Multimedia / Film
50,46,3,19-4051.02,Nuclear Monitoring Technicians,[Kesehatan] Laboratorium
50,46,1-2,53-7072.00,"Pump Operators, Except Wellhead Pumpers",[Keselamatan & Transportasi] Transportasi / Logistik
50,45,5,11-9041.00,Architectural and Engineering Managers,[Bisnis & Administrasi] Bisnis / Manajemen
50,45,5,29-1129.01,Art Therapists,[Kesehatan] Kedokteran
50,45,3,35-1011.00,Chefs and Head Cooks,[Seni & Kreatif] Tata Boga
50,45,1-2,51-9161.00,Computer Numerically Controlled Tool Operators,[Teknik] Teknik Elektro
50,45,4,11-9021.00,Construction Managers,[Bisnis & Administrasi] Bisnis / Manajemen
50,45,3,29-1292.00,Dental Hygienists,[Kesehatan] Kedokteran
50,45,1-2,51-9081.00,Dental Laboratory Technicians,[Teknik] Teknik Industri
50,45,1-2,49-9051.00,Electrical Power-Line Installers and Repairers,[Teknik] Teknik Elektro
50,45,3,51-6092.00,Fabric and Apparel Patternmakers,[Teknik] Teknik Industri
50,45,1-2,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",[Seni & Kreatif] Tata Boga
50,45,3,51-8013.04,Hydroelectric Plant Technicians,[Teknik] Teknik Industri
50,45,1-2,45-4023.00,Log Graders and Scalers,[Teknik] Teknik Industri
50,45,4,17-2131.00,Materials Engineers,[Teknik] Teknik Industri
50,45,1-2,49-9011.00,Mechanical Door Repairers,[Teknik] Teknik Mesin
50,45,4,19-1022.00,Microbiologists,[Kesehatan] Laboratorium
50,45,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians,[Teknik] Teknik Industri
50,45,5,29-1171.00,Nurse Practitioners,[Kesehatan] Keperawatan
50,45,3,29-2081.00,"Opticians, Dispensing",[Kesehatan] Kedokteran
50,45,1-2,47-2141.00,"Painters, Construction and Maintenance",[Teknik] Teknik Sipil
50,45,1-2,51-5112.00,Printing Press Operators,[Teknik] Teknik Industri
50,45,3,47-1011.03,Solar Energy Installation Managers,[Teknik] Teknik Mesin
50,45,1-2,47-2053.00,Terrazzo Workers and Finishers,[Teknik] Teknik Mesin
50,45,1-2,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",[Teknik] Teknik Industri
50,43,4,17-2011.00,Aerospace Engineers,[Teknik] Teknik Mesin
50,43,3,53-2021.00,Air Traffic Controllers,[Keselamatan & Transportasi] Penerbangan
50,43,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
50,43,5,19-2011.00,Astronomers,[Kesehatan] Laboratorium
50,43,4,11-3051.03,Biofuels Production Managers,[Bisnis & Administrasi] Bisnis / Manajemen
50,43,4,19-4021.00,Biological Technicians,[Kesehatan] Laboratorium
50,43,5,19-1029.04,Biologists,[Kesehatan] Laboratorium
50,43,1-2,51-3021.00,Butchers and Meat Cutters,[Seni & Kreatif] Tata Boga
50,43,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",[Keselamatan & Transportasi] Penerbangan
50,43,3,19-4031.00,Chemical Technicians,[Kesehatan] Laboratorium
50,43,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",[Teknik] Teknik Mesin
50,43,3,47-4011.00,Construction and Building Inspectors,[Teknik] Teknik Sipil
50,43,1-2,47-5041.00,Continuous Mining Machine Operators,[Teknik] Teknik Mesin
50,43,1-2,35-2014.00,"Cooks, Restaurant",[Seni & Kreatif] Tata Boga
